season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4567185,Hudson Henry,TE,Arkansas,SEC,5,0.32,0.32,,,-0.295,0.73,-0.295,0.73,1.599,1.599,,,-0.59,2.189,-0.59,2.189
2021,4052788,Eric Collins,WR,UMass,FBS Independents,32,0.32,0.359,0.053,0.131,0.155,0.585,-0.125,0.625,10.252,10.039,0.213,1.183,1.395,7.024,-1.621,11.873
2021,4361222,Layne Hatcher,QB,Arkansas State,Sun Belt,302,0.32,0.312,0.442,-0.01,0.416,0.52,0.193,0.467,96.678,88.288,8.39,-1.02,48.688,42.103,31.273,65.405
2021,4373334,John Vardzel,WR,Pittsburgh,ACC,1,0.32,0.32,,0.32,,,0.32,,0.32,0.32,,0.32,,,0.32,
2021,4429160,Devon Achane,RB,Texas A&M,SEC,156,0.321,0.372,0.31,0.315,0.232,0.664,0.356,0.155,50.086,10.407,39.679,27.723,11.346,11.287,45.907,4.179
2021,4426764,Bryan Bradford,RB,Kent State,Mid-American,41,0.321,-2.142,0.383,0.058,0.158,0.763,0.262,0.504,13.172,-2.142,15.315,1.165,1.422,8.391,8.133,5.039
2021,4686095,Kobe Pace,RB,Clemson,ACC,118,0.323,1.072,0.222,0.076,0.33,1.192,0.265,0.509,38.094,15.013,23.08,4.357,13.844,21.461,23.848,14.246
2021,4433935,Ethan Wright,RB,Cincinnati,American Athletic,30,0.324,0.474,0.313,0.005,0.014,2.009,0.299,0.672,9.719,0.948,8.77,0.087,0.115,8.037,8.375,1.344
2021,4685740,Max Johnson,QB,LSU,SEC,423,0.324,0.339,0.197,0.044,0.362,0.645,0.219,0.476,137.153,128.664,8.49,7.313,46.664,76.778,54.849,82.304
2021,4605477,Alante Brown,WR,Nebraska,Big Ten,2,0.326,0.326,,0.326,,,0.326,,0.651,0.651,,0.651,,,0.651,
2021,4596472,Jalon Daniels,QB,Kansas,Big 12,145,0.326,0.306,0.4,0.157,0.406,0.772,0.322,0.334,47.324,34.926,12.398,8.032,17.479,30.87,29.641,17.683
2021,4875853,Cody Jackson,WR,Oklahoma,Big 12,8,0.327,0.327,,-0.103,-0.86,2.377,-0.356,2.377,2.619,2.619,,-0.414,-1.721,4.753,-2.135,4.753
2021,4428439,Collin Schlee,QB,Kent State,Mid-American,40,0.328,0.177,0.556,0.386,0.215,0.088,0.351,0.26,13.135,4.236,8.899,6.567,2.792,0.794,10.537,2.598
2021,4428732,Sean Tyler,RB,Western Michigan,Mid-American,192,0.328,0.576,0.31,0.25,0.45,0.476,0.247,0.659,63.053,7.49,55.563,24.759,26.528,14.747,37.993,25.06
